Category,JIRA,Feature/Capability,Description,Provider,Enterprise,Accounts,IREN,TT,Offtake
Platform Services,,Provider (operator) API (Atlas),"REST/JSON provider-facing API exposing all infrastructure operations, lifecycle management, and cross-tenant visibility.",X,X,"IREN, TTU, Offtake",,,
Platform Services,,Tenant API (Arc),Tenant-scoped API capability for Atlas APIs,X,X,"IREN, Offtake",,,
Platform Services,,API Auth Service,"Centralized auth/authz gateway for all API calls, supporting provider and tenant-scoped roles with token issuance and key rotation.",X,X,"IREN, TTU, Offtake",,,
Platform Services,,Platform Analytics Services,"Operational reporting on capacity utilization, provisioning KPIs, FinOps, and per-tenant GPU-hour usage.",X,X,"IREN, Offtake",,,
Platform Services,AIP-143,Telemetry Services,"Telemetry data collection and warehousing of raw metrics, logs, events, and trace data on created resources and the management plane.",X,X,"IREN, Offtake",,,
Platform Services,AIP-144,Usage Metering Data Service,Append-only usage records per resource with tenant/time-range export and daily rollup summarization.,X,X,"IREN, TTU, Offtake",,,
Platform Services,AIP-136,Notification Service,Routes platform events to in-app feeds and webhooks with provider-wide or tenant-scoped delivery and severity mapping.,X,X,"IREN, TTU, Offtake",,,
Platform Services,AIP-128,Audit Service,"Immutable, tenant-scoped audit trail for all sensitive and state-changing operations with export capabilities.",X,X,"IREN, TTU, Offtake",,,
Tenant & Identity,AIP-126,Tenant Lifecycle Management,"Create, update, suspend, disable, and delete tenants with billing ID, egress policy, and quota assignment.",X,X,"IREN, TTU, Offtake",,,
Tenant & Identity,,Tenant Quota Management,"Set and enforce per-tenant limits on GPU types, CPU, RAM, storage, and cluster count.",X,,"IREN, TTU, Offtake",,,
Bare Metal as a Service,AIP-133,Bare Metal Host Registration,"Register individual servers with BMC endpoint, credentials, hardware attributes, and rack/location tags via API.",X,X,"IREN, TTU, Offtake",,,
Bare Metal as a Service,AIP-132,Bulk Host Registration,Import multiple hosts simultaneously via CSV or JSON with duplicate detection and BMC reachability validation.,X,X,"IREN, TTU, Offtake",,,
Bare Metal as a Service,AIP-133,Host State Tracking,"Track and drive host lifecycle transitions (Registered, Provisioning, Ready, Allocated, Unregistering, Decommissioned).",X,X,"IREN, TTU, Offtake",,,
Bare Metal as a Service,AIP-133,"Host, Labeling, Tagging, & Filtering","Attach and query tags (GPU model, type, rack, tenant) for host discovery and allocation targeting. Host APIs should allow filtering and selecting using tags.",X,X,"IREN, TTU, Offtake",,,
Bare Metal as a Service,AIP-21,Machine Type / Persona Management,Define named machine types (e.g. k8s-gpu-worker-h100) that bind a host role to required OS image and config.,X,,"IREN, TTU, Offtake",,,
