Initiative JIRA,Initiative Name,Description,Customers,Teams,Major UI,Commit,Commit Notes,Major Release,Eng Owner,UX Mock,Notes,Release Milestone
AIP-146,K0rdent AI API Atlas Framework,"Establishes the Provider API (Atlas) as the authoritative REST/JSON interface for all provider-facing operations. Versioned endpoint structure, consistent async job model, workflow engine, Authz, and shared error handling patterns used by all capabilities.","IREN, TTU",Core Services,N,Committed,,Osprey,SK,N/A,5/5/26 - SK - Committed ,Alpha
AIP-99,KaaS Provisioning Lifecycle,"Establish the foundational Kubernetes cluster lifecycle management capability of k0rdent AI covering cluster types, control plane selection, full cluster lifecycle operations and k8s component deployment, as a complete service layer that sits above the infrastructure.","IREN, Abbvie, Reliance","KCM, Core Services",Y,Committed,"Fixed ClusterTypes, no service management.
Create, list, delete only in Alpha.",Osprey,Oleg,In Progress,"Need UI epics
UPDATE: https://mirantis.jira.com/browse/KUI-215",GA
AIP-145,Packaged Installation of K0rdent AI,"Installation of the foundational platform infrastructure required to operate k0rdent AI, deploying and configuring ALL management plane components including the Provider API (Atlas), UI, API Authentication Service, Temporal workflow orchestration engine, and supporting Infrastucture services.",IREN,Integration,N,Committed,,Osprey,Dina,N/A,"5/5/26 - Dina - committed. New epic that may not be fully implemented as part of this initiative, under discussion",
AIP-153,Atlas API Auth/RBAC,Authorization and Authentication architecture as well as RBAC implementation for Atlas APIs,"IREN, AdvancedAuto, Reliance",Core Services,Y,Committed,,Osprey,SK,In Progress,5/5/26 - SK - Committed. Jira aligned,
AIP-126,Organization and User Management,"Establishes the tenant within the platform, enable operators to create, configure, suspend, and delete tenants","IREN, Reliance, Abbvie, AdvancedAuto",Core Services,Y,Committed,,Osprey,SK,In Progress,5/5/26 - SK - Committed. Jira aligned,
AIP-81,Project Resource Access Management,"Manages all cluster access artifacts like kubeconfigs (including RBAC-scoped issuance and revocation), as well as SSH key injection and retrieval with strict tenant isolation.","IREN, Reliance","Core Services, Bare Metal",Y,Committed,,Osprey,Oleg,Not Started,,
AIP-149,Bare Metal Host Provisioning,"Covers the full lifecycle of individual bare metal hosts from BMC-authenticated registration and hardware discovery through OS image provisioning, state tracking, and tag-based filtering for allocation targeting.",IREN,"Bare Metal, Core Services",Y,Committed,Pending significant NICO architecture discussions,Osprey,Oleg,In Progress,"Work Started. 
No NICO related EPICs attached to AIP-133
Needs Jira Alignment
Need to create Epics
UPDATE (Oleg Gelbukh ): Epics were created",
AIP-127,KaaS Bare Metal Clusters Provisioning,"Orchestrates the full end-to-end lifecycle of bare metal Kubernetes clusters from host allocation and OS provisioning through control plane installation, worker join, add-on deployment, scale, rolling upgrade, and clean deletion with resource release.",IREN,Bare Metal,Y,Committed,,Osprey,Oleg,In Progress,Need Epics scrubbed/created,
AIP-58,Compute (GPU) Network Orchestration Support,"Extends bare metal and Kubernetes cluster provisioning to automatically configure east-west GPU networking including InfiniBand UFM orchestration and ROCe, for tenant-isolated high-performance compute fabrics.",IREN,"Bare Metal, Networking",N,Committed,,Osprey,Oleg,N/A,Not sure if this requires any special UI nd external facing API,
AIP-143,Telemetry Services,"Foundational data layer for observability across the k0rdent AI Platform. It collects, transports, stores, and surfaces telemetry data: events, logs, metrics, and traces",IREN,KOF,N,Stretch,Dependencies on implementation decisions prevent full commitment,Osprey,Dina,N/A,"Partialy commited (Stretch)
5/5/26 - Dina - some of the implementation specifics blocks are releaved as we go, that's why stretch",
AIP-150,Audit Service,"System of record for who did what (action), when, to which resource, from where, with what outcome","IREN, Visa",KOF,Y,Stretch,Dependencies on implementation decisions prevent full commitment,Osprey,Dina,N/A,"Partialy commited (Stretch)
5/5/26 - Dina - some of the implementation specifics blocks are releaved as we go, that's why stretch",
AIP-144,Usage Metering Data Service,"System of record for what resource each tenant consumed, when, and how much. It produces append-only usage records per metered resource such as clusters, nodes, GPUs, storage, network – broken-out by tenant and time period – and exports those records to billing systems, data lakehouses, and tenant-facing usage dashboards",IREN,"KOF, Core Services",N,Not Commited,Need a design proposal and agree with stakeholders (can be provided by July together with the draft of API and workflows). Production ready solution can't be provided in Osprey,Osprey,Dina,N/A,"Not commited (can't be completed in Osprey). Need a design proposal and agree with stakeholders (can be provided by July together with the draft of API and workflows). Production ready solution can't be provided in Osprey
5/5/26 - Dina - the actual work will depend heavily on the finalized design which is yet to be done",
AIP-136,Notification Service,"Email, in-app, real-time event streaming (webhook), infrastructure updates as well as visibility within the UI",IREN,Core Services,Y,Committed,,Osprey,SK,TBD,"Needs Jira Alignment
5/5/26 - SK- Committed, Needs EPICS created",
AIP-132,Bulk Bare Metal Host Registration ,Enables mass onboarding of physical servers via CSV or JSON import to accelerate initial inventory population.,IREN,"Bare Metal, Core Services",Y,Committed,,Osprey,SK,In Progress,5/5/26 - SK - Committed ,
AIP-137,Verity Integration (Network Partner Foundation),Integration with Verity for AI-optimized network fabric management. Enables k0rdent AI to configure and manage Verity networking as part of cluster provisioning workflows.,IREN,"Core Services, Networking",Y,Committed,,Osprey,Oleg,Not Started,Need epics aligned,
AIP-138,Project Network Resources and Automation,"Defines and manages the full provider network inventory (node, storage, GPU east-west, egress) and automates per-tenant network assignment, IP pool allocation, and IPAM across cluster and node pool lifecycles.",IREN,"Networking, Core Services",Y,Committed,,Osprey,Oleg,Not Started,Add Project-specfic UI Epics (Or clarify if already present) Brian Bancroft,
AIP-98,HCP for Child k8s Clusters,"Enables hosted control planes for tenant clusters by deploying and managing control plane services (Pods) on provider-owned host clusters via k0smotron, keeping the control plane infrastructure invisible to tenants.","IREN, Reliance","KCM, Core Services",N,Committed,,Osprey,Oleg,N/A,Requires Jira alignment for API changes that UI will consume for cluster creation,
AIP-73,Control Platforms Management and Lifecycle,"Covers the registration, capacity tracking, and lifecycle management of the Kubernetes clusters that serve as HCP hosts, including health monitoring and the ability to drain or retire them from control plane scheduling.",IREN,"KCM, Core Services",Y,Stretch,UI and API for managing multiple control platforms will be a stretch,Osprey,Oleg,Yes,,
AIP-131,Storage solution for k8s Clusters,"Delivers a unified CSI driver deployment mechanism across tenant clusters and introduces native platform APIs for storage management via partner integrations (Starting with Dell PowerScale), covering volume/filesystem CRUD, capacity quotas, and tenant-scoped access rights.",IREN,"Storage, Core Services, Networking",Y,Committed,Commit Contingent in getting access to a Powerscale environment by 5/18 Joe Rizkallah,Osprey,Oleg,Not Started,Dell PowerScale Epics are missing. Need UI epics,
AIP-148,K0rdent AI Application Deployment Framework,Foundational framework and Catalog revamp to allow customers to deploy and manage applications across k0rdent AI child clusters. ,IREN,"Core Services, KSM, AI Apps",Y,Not Commited,PM to Scope,Kestrel,,Not Started,need UI epics,
AIP-147,Netris Integration,Integration with Netris for AI-optimized network fabric management. Enables k0rdent AI to configure and manage Netris networking as part of cluster provisioning workflows. ,,Networking,N,Not Commited,,Kestrel,Oleg,N/A,,
K0RDENT-219,Deployment and Lifecycle Management of MKE4 Child Clusters,"Deploy MKE4 Child Clusters from k0rdent AI to enable full lifecycle management (provisioning, upgrades, and decommissioning) of child clusters across multiple infrastructure providers. (vSphere, AWS, and Bare Metal in Scope)","SocGen, Abbvie, Reliance","KCM, Core Services, KSM",?,Not Commited,,Kestrel,Ryan,N/A,Engineering: TODO,
BOP-3476,Integrate and Deploy MKE4 RBAC Policies,"Define a centralized Kubernetes authentication and authorization strategy to enable SSO, consistent RBAC, and integration with enterprise identity systems across all kAI-deployed MKE4 Child clusters.","Visa, SocGen, Reliance, AdvancedAuto","Core Services, KCM",Y,Not Commited,,Kestrel,Ryan,Not Started,Engineering: TODO,
K0RDENT-260,MKE UI Launch/Integration from K0rdent AI UI,Enable seamless launch and integration of the MKE UI within the k0rdent AI UI to support end-to-end child cluster provisioning workflows in a unified platform experience while supporting prioritized infrastructure providers and validated MKE 4 releases.,"AdvancedAuto, Abbvie, Reliance",Core Services,Y,Not Commited,,Condor,Ryan,Not Started,Engineering: TODO,
